date,open,high,low,close,volume
20191016,50700,50900,50400,50700,9136282
20191015,49900,50200,49900,50100,6058105
20191014,50000,50300,49850,50000,11130635
20191011,49000,49450,48800,49150,7783275
20191010,48200,49200,48000,48550,18639855
20191008,47900,49000,47600,48900,14239367
20191007,48350,48700,47650,47750,7047273
20191004,47400,48650,47350,48000,9331695
20191002,48350,48400,47600,47600,8382463
20191001,48900,49100,48650,48850,6206035
20190930,48050,49250,47900,49050,9497119
20190927,48000,48700,48000,48400,8048041
20190926,49000,49250,48900,49200,8494756
20190925,49200,49350,48800,48900,9187141
20190924,49050,49650,48850,49500,7871955
20190923,49250,49300,49000,49300,7568553
20190920,49400,49600,49100,49200,15460210
20190919,48050,49200,47850,49150,16461413
20190918,46900,47700,46800,47700,10413027
20190917,47000,47100,46800,46900,7006280
20190916,47000,47100,46400,47100,15550926
20190911,47300,47400,46800,47150,16141619
20190910,47100,47200,46550,47000,9231792
20190909,46450,47000,46300,46900,9434157
20190906,46500,46500,45850,46300,9896562
20190905,44800,46100,44450,45700,18297430
20190904,43250,44100,43150,44100,12441837
20190903,43550,43650,43100,43250,9774941
20190902,44850,44850,43650,43800,7185537
20190830,43750,44300,43750,44000,9899073
20190829,44200,44200,43050,43400,10768862
20190828,44100,44400,43750,44150,5758333
20190827,43650,44200,43600,44050,16883932
20190826,43050,43800,42950,43600,7954949
20190823,43800,44200,43650,43950,5017381
20190822,44500,44700,43850,44050,8061177
20190821,44350,44800,44150,44500,6571717
20190820,43950,44600,43550,44450,8434205
20190819,44350,44350,43500,43600,6014218
20190816,43800,43900,43300,43900,9528115
20190814,43900,44250,43500,43700,8750135
20190813,43500,43500,42950,43000,7276979
20190812,44000,44000,43550,43700,8466169
20190809,43250,43350,43050,43150,9685147
20190808,43250,43500,42650,42650,16926881
20190807,43600,43900,43100,43200,10002533
20190806,42500,43800,42500,43500,15083824
20190805,44350,44600,43600,43950,14214086
20190802,44550,45500,44300,44950,12151374
20190801,44900,45500,44850,45200,7811181
20190731,46200,46600,45000,45350,12872916
20190730,46300,46850,46300,46550,5551014
20190729,46800,47050,46000,46100,6856846
20190726,46650,47150,46550,47150,7873886
20190725,47150,47200,46600,47200,8408838
20190724,47100,47150,46250,46400,8756522
20190723,47350,47550,47050,47300,9061381
20190722,46800,47300,46600,47200,9009109
20190719,46650,46950,46600,46800,8819393
20190718,46450,46450,45650,46100,5143554
20190717,46150,46350,45950,46050,5216602
20190716,46450,46850,46300,46850,7407824
20190715,45950,46650,45750,46450,4717226
20190712,46350,46400,45800,46300,5245804
20190711,46350,46550,46150,46200,10989751
20190710,45550,46150,45500,45550,9253930
20190709,44850,45450,44700,45100,7646421
20190708,44750,44800,44350,44400,7823843
20190705,45950,45950,45250,45650,7235395
20190704,45250,46200,45250,46000,6365573
20190703,45750,46350,45200,45400,9669368
20190702,46200,46900,45850,46250,8463073
20190701,47350,47400,46250,46600,11383522
20190628,47000,47000,46700,47000,12949231
20190627,46000,46600,45750,46500,12603534
20190626,45800,46000,45600,45700,9226097
20190625,45200,45800,45200,45600,7076774
20190624,45200,45800,45200,45500,6085066
20190621,45750,45800,45200,45700,9454913
20190620,44850,45500,44850,45500,7147785
20190619,45450,45450,45000,45350,10417690
20190618,43750,44500,43650,44350,7994928
20190617,43750,44050,43400,43900,11890424
20190614,43750,44150,43300,44000,9322873
20190613,44200,44400,43400,43750,16906541
20190612,44800,45050,44300,44600,8607439
20190611,44800,45000,44550,44850,6664872
20190610,44300,44850,44050,44800,8792182
20190607,43600,44350,43450,44200,11683682
20190605,44050,44200,43700,43900,12464135
20190604,43400,43700,43000,43450,9913497
20190603,42950,43900,42500,43800,15466580
20190531,42600,42800,42150,42500,11365999
20190530,42200,42700,42150,42550,11766018
20190529,41850,42100,41300,41800,14930618
20190528,42550,42950,42150,42550,24506881
20190527,42500,43000,42350,42650,8066669
20190524,43800,43800,42400,42700,13966305
20190523,43900,44000,43250,43850,12259006
20190522,43700,43800,42400,43500,11033339
20190521,42600,43950,42350,43150,18812133
20190520,41650,42100,41550,42000,15752397
20190517,41950,42050,40850,41200,13357951
20190516,42350,42400,41350,41550,13687828
20190515,42700,43050,42550,42550,7670185
20190514,41300,43100,41300,42650,11563730
20190513,42500,43200,42350,42650,7635079
20190510,42600,43450,42450,42900,14579512
20190509,43900,44250,42450,42450,23029718
20190508,44300,44850,44200,44250,10398754
20190507,45250,45300,44400,44850,12014907
20190503,45900,46050,45300,45300,6562916
20190502,45500,46150,45400,45900,8625126
20190430,46000,46300,45350,45850,11121273
20190429,45150,46150,45100,46150,8777517
20190426,44200,45000,43800,44850,9739982
20190425,44250,45000,44100,44650,10868965
20190424,45400,45650,44150,44750,13299267
20190423,45050,45500,45000,45200,6920566
20190422,45400,45900,45100,45350,6006957
20190419,45750,46000,45250,45300,8479710
20190418,47200,47250,45500,45600,12808747
20190417,47300,47600,47000,47050,5513658
20190416,47400,47400,46800,47250,7730881
20190415,47150,47500,47000,47050,8733019
20190412,46050,46900,46000,46850,7668936
20190411,46700,46800,46150,46250,13697399
20190410,46400,46700,46050,46700,11883995
20190409,46700,46950,46200,46650,6878761
20190408,47250,47250,46150,46650,8507909
20190405,46950,47550,46600,46850,8546339
20190404,46150,47100,46150,46950,12650168
20190403,46750,46750,45800,46600,12436570
20190402,45550,46100,45350,45750,9480688
20190401,45200,45450,44850,45050,7362129
20190329,44500,44900,44200,44650,11491713
20190328,44950,45200,44300,44850,6821306
20190327,44750,45600,44250,45350,9568081
20190326,45500,45700,44900,45250,9729811
20190325,45300,45650,44800,45500,8699728
20190322,46850,47000,46250,46550,12535911
20190321,44600,46250,44050,45850,21138016
20190320,43800,44200,43100,44050,9846242
20190319,43750,43900,43550,43900,7609563
20190318,43950,44150,43450,43700,8188876
20190315,43800,44250,43700,44200,16814163
20190314,43700,44300,43550,43850,18039161
20190313,44250,44450,43700,43850,8108343
20190312,44300,44950,44150,44650,11431977
20190311,44400,44450,43650,43650,10717408
20190308,44450,44800,43800,43800,7729069
20190307,43400,44950,43400,44450,11049749
20190306,44000,44300,43700,44000,10202544
20190305,44600,45100,44150,44250,10612405
20190304,46000,46100,44800,44850,12926539
20190228,46400,46500,45100,45100,23569321
20190227,47000,47250,46750,46750,8045211
20190226,47350,47450,46500,46750,7985547
20190225,47400,47550,47050,47350,7484716
20190222,46500,47150,46450,47150,6895772
20190221,46500,47200,46200,46950,8694009
20190220,46750,47100,46500,46900,11506720
20190219,45850,46150,45450,45950,6741395
20190218,46500,46850,45850,46200,8183728
20190215,46750,46850,45650,46050,10554643
20190214,46600,47500,46150,47500,17259341
20190213,46400,46700,46000,46200,11299738
20190212,44650,46250,44650,46050,13184367
20190211,44500,45000,44250,45000,11125044
20190208,45700,45700,44650,44800,12689196
20190207,46800,47100,46200,46200,15872001
20190201,46650,46950,46250,46350,13832454
20190131,46650,47050,46150,46150,21621145
20190130,44800,46400,44800,46400,17505980
20190129,45050,45500,44350,45500,16215017
20190128,45000,45500,44600,45050,17998914
20190125,44300,44750,43750,44750,22789395
20190124,43050,43100,42350,43050,14747623
20190123,41350,42250,41350,42000,11071079
20190122,42750,42850,41850,42150,9964356
20190121,42700,42750,41900,42750,11355701
20190118,42000,42400,41950,42300,11029256
20190117,41700,42100,41450,41950,11736903
20190116,41150,41450,40700,41450,8491595
20190115,40050,41100,39850,41100,11492756
20190114,40450,40700,39850,40050,11984996
20190111,40350,40550,39950,40500,11661063
20190110,40000,40150,39600,39800,14731699
20190109,38650,39600,38300,39600,17452708
20190108,38000,39200,37950,38100,12756554
20190107,38000,38900,37800,38750,12748997
20190104,37450,37600,36850,37450,14108958
20190103,38300,38550,37450,37600,12471493
20190102,39400,39400,38550,38750,7847664
20181228,38250,38900,38200,38700,9900267
20181227,38700,38800,38100,38250,10510643
20181226,38400,38750,38300,38350,12707675
20181224,38500,39050,38300,38800,9729530
20181221,38200,38650,38100,38650,14947080
20181220,38600,39100,38500,38650,11937617
20181219,38900,39350,38850,39100,9942037
20181218,38300,39200,38300,38900,11042101
20181217,38650,39600,38650,39150,11532968
20181214,40200,40200,38700,38950,19671783
20181213,40650,40750,40000,40000,26254646
20181212,40250,40700,40150,40450,12024279
20181211,40600,40700,40200,40250,10638766
20181210,40450,40650,40000,40200,14892263
20181207,40900,41400,40850,40950,11433083
20181206,40600,41100,40450,40500,14251826
20181205,40900,41750,40850,41450,12631983
20181204,42650,42900,41900,42150,14347746
20181203,42750,43400,42400,43250,12110702
20181130,43450,44000,41750,41850,19775519
20181129,43850,43850,42900,43150,8473511
20181128,42800,43200,42750,43150,6943099
20181127,42900,43100,42500,43050,8367091
20181126,42150,42800,42100,42600,6613009
20181123,42450,42600,41900,42400,5192638
20181122,42000,42650,42000,42450,5970796
20181121,41800,42300,41800,42100,10769589
20181120,42450,43000,42100,42800,9420664
20181119,44050,44250,43450,43650,7538720
20181116,44600,44750,43700,44000,7777124
20181115,44050,44350,43500,44250,5864067
20181114,44500,44500,43800,44100,6783344
20181113,43900,44500,43400,44500,9311126
20181112,43850,45250,43700,45200,8552566
20181109,44450,44850,43900,44300,7318500
20181108,44900,45050,44050,44050,12617397
20181107,43600,44500,43400,44000,11553998
20181106,43750,43800,42950,43750,7713625
20181105,43750,43800,42900,43800,9426777
20181102,43050,44250,42800,44150,16517112
20181101,42450,42950,42150,42150,13423132
20181031,42900,43350,41700,42400,17621480
20181030,41400,43000,41000,42350,14205190
20181029,40850,41950,40550,41400,14460521
20181026,41100,41300,40400,41000,14413864
20181025,40600,41550,40550,41000,19338170
20181024,43050,43100,42250,42550,13522825
20181023,43300,43450,42550,43050,9531231
20181022,43450,43950,43200,43550,8357648
20181019,43900,44150,43450,43900,7842520
20181018,43950,44450,43700,44050,8347725
20181017,44150,44500,44000,44150,8306193
20181016,43700,44150,43350,43600,6825677
20181015,44050,44050,43350,43800,7434522
20181012,43200,44650,43200,44000,12640906
20181011,44000,44650,43100,43100,19324537
20181010,45250,45500,44500,45300,10341349
20181008,44200,45200,44200,44950,6759464
20181005,44800,45500,44550,44700,10544165
20181004,45150,45600,44700,44700,11865327
20181002,46450,46700,45700,45700,6607188
20181001,46450,46800,45800,46350,6354983
20180928,47250,47250,46300,46450,11270515
20180927,46950,47500,46450,47500,15804586
20180921,46550,47550,46550,47400,14476906
20180920,46850,47600,46400,47250,13536966
20180919,46000,46200,45700,46150,9367454
20180918,44950,45900,44700,45500,9987090
20180917,45550,45800,44900,45150,8123384
20180914,45000,45850,44900,45850,12446344
20180913,44550,44750,44000,44050,18277942
20180912,44900,45100,44500,44550,12995269
20180911,45550,45900,45050,45050,9865790
20180910,45450,45550,45000,45500,9979838
20180907,44500,45200,44400,44900,18285508
20180906,46200,46400,45800,46100,9040553
20180905,47300,47450,46400,46600,9139998
20180904,47550,47800,47200,47650,6791255
20180903,48200,48300,47300,47450,8595084
20180831,47100,48450,47000,48450,13577454
20180830,46950,47950,46700,47650,12193231
20180829,46750,46800,46400,46800,5572374
20180828,46800,46950,46300,46550,7365976
20180827,46100,46550,46000,46300,5263782
20180824,45900,46400,45550,46150,6582535
20180823,46150,46200,45700,46200,6730918
20180822,45150,46200,44900,46100,11641656
20180821,43700,44900,43700,44800,9520270
20180820,43500,44200,43500,43850,7289124
20180817,44050,44400,44050,44100,6808747
20180816,43800,44650,43700,44250,10088229
20180814,44850,45400,44850,45150,6409259
20180813,44950,45100,44650,45050,9803831
20180810,46150,46400,44850,45400,16670643
20180809,47000,47050,46450,46900,12010886
20180808,47000,47000,46550,46800,6429338
20180807,46300,46750,45900,46700,9058174
20180806,46150,46150,45750,45800,6771979
20180803,45850,45900,45450,45750,8274944
20180802,46550,46800,45500,45550,8560924
20180801,46050,46850,46050,46550,7484499
20180731,46200,46450,46000,46250,8033607
20180730,46550,46800,46350,46500,5723035
20180727,46450,47000,46450,46900,4762460
20180726,46100,47000,46000,46900,7374946
20180725,46250,46550,45900,46150,7222471
20180724,46350,46600,45950,46150,8261363
20180723,47100,47200,46150,46500,10823782
20180720,47000,47600,46700,47450,10474547
20180719,47050,47200,46600,46900,9880128
20180718,46700,47200,46450,46550,10952645
20180717,46150,46200,45600,45850,8892953
20180716,46800,46800,46000,46050,7678719
20180713,45800,46500,45750,46500,11543389
20180712,45900,46250,45450,45500,11828104
20180711,46400,46450,45400,46000,11224077
20180710,46200,46550,46100,46300,10528665
20180709,45500,46100,45200,45600,11602464
20180706,45500,45850,44650,44900,17843706
20180705,46100,46550,45600,45950,7039773
20180704,46700,47050,46050,46250,8776763
20180703,45750,46450,45750,46150,10959655
20180702,46500,47150,45500,45550,13112253
20180629,46250,47150,46200,46650,14099635
20180628,46850,47150,46600,46800,12784800
20180627,47450,48500,47000,47950,15274752
20180626,45900,47300,45900,47000,11223166
20180625,47050,47050,46150,46650,10587711
20180622,47000,47250,46200,47250,10298006
20180621,47900,47900,47050,47050,10015541
20180620,47450,47600,46850,47000,12959316
20180619,47200,47350,46500,47000,15217971
20180618,47600,47650,46200,46600,16661870
20180615,48500,48700,47650,47650,17080892
20180614,49000,49000,48200,48200,20971729
20180612,49700,49800,49250,49400,12110569
20180611,49750,50300,49350,49900,10571312
20180608,50200,50400,49600,49650,16951706
20180607,51800,51800,50500,50600,13590016
20180605,51100,51400,50400,51300,9144100
20180604,50800,51200,50700,51100,9767171
20180601,50500,51700,49950,51300,13038499
20180531,50400,50800,49850,50700,63491109
20180530,51300,51500,49100,49500,20498098
20180529,52200,52500,51300,51300,8480437
20180528,52500,53000,52000,52300,9787820
20180525,51000,52800,50800,52700,15207266
20180524,52000,52000,51100,51400,8289275
20180523,50600,52000,50400,51800,17095490
20180521,49650,50200,49100,50000,9020998
20180518,49900,49900,49350,49500,6706570
20180517,50300,50500,49400,49400,10365440
20180516,49200,50200,49150,49850,15918683
20180515,50200,50400,49100,49200,18709146
20180514,51000,51100,49900,50100,14909272
20180511,52000,52200,51200,51300,10314997
20180510,51700,51700,50600,51600,13905263
20180509,52600,52800,50900,50900,16128305
20180508,52600,53200,51900,52600,23104720
20180504,53000,53900,51800,51900,39565391
20180503,2650000,2650000,2650000,2650000,0
20180502,2650000,2650000,2650000,2650000,0
20180430,2650000,2650000,2650000,2650000,0
20180427,2669000,2682000,2622000,2650000,606216
20180426,2521000,2608000,2520000,2607000,360931
20180425,2461000,2525000,2461000,2520000,332292
20180424,2592000,2593000,2504000,2523000,315406
20180423,2550000,2604000,2550000,2595000,232380
20180420,2590000,2613000,2571000,2581000,235220
20180419,2600000,2649000,2577000,2639000,343811
20180418,2550000,2568000,2529000,2568000,269252
20180417,2512000,2527000,2491000,2499000,155440
20180416,2516000,2530000,2493000,2517000,157549
20180413,2480000,2509000,2470000,2490000,205566
20180412,2472000,2472000,2444000,2450000,249325
20180411,2495000,2495000,2430000,2443000,201022
20180410,2427000,2461000,2402000,2444000,219687
20180409,2413000,2472000,2410000,2460000,199008
20180406,2400000,2429000,2370000,2420000,250654
20180405,2370000,2469000,2367000,2437000,264912
20180404,2408000,2413000,2346000,2346000,247684
20180403,2394000,2407000,2364000,2406000,255365
20180402,2450000,2461000,2425000,2427000,142313
20180330,2454000,2495000,2454000,2461000,155542
20180329,2435000,2478000,2416000,2452000,201340
20180328,2455000,2455000,2417000,2435000,303189
20180327,2516000,2523000,2454000,2499000,237480
20180326,2471000,2514000,2452000,2514000,201155
20180323,2517000,2536000,2480000,2486000,297099
20180322,2553000,2589000,2552000,2589000,169082
20180321,2589000,2589000,2553000,2553000,178104
20180320,2535000,2560000,2505000,2560000,163865
20180319,2531000,2567000,2522000,2537000,164377
20180316,2561000,2571000,2512000,2557000,243698
20180315,2600000,2601000,2551000,2577000,177649
20180314,2551000,2600000,2550000,2588000,254265
20180313,2538000,2583000,2518000,2583000,401974
20180312,2528000,2539000,2479000,2487000,173779
20180309,2472000,2527000,2462000,2487000,286088
20180308,2460000,2474000,2404000,2460000,389273
20180307,2410000,2445000,2361000,2431000,428541
20180306,2296000,2355000,2291000,2351000,308467
20180305,2291000,2308000,2254000,2260000,282019
20180302,2329000,2340000,2300000,2301000,265310
20180228,2369000,2405000,2350000,2353000,303247
20180227,2418000,2419000,2369000,2369000,196611
20180226,2364000,2378000,2354000,2369000,191213
20180223,2338000,2390000,2338000,2361000,248466
20180222,2363000,2363000,2338000,2338000,177399
20180221,2364000,2379000,2342000,2364000,257604
20180220,2402000,2408000,2361000,2370000,202452
20180219,2490000,2490000,2393000,2419000,307069
20180214,2404000,2455000,2397000,2450000,378118
20180213,2310000,2403000,2310000,2377000,378465
20180212,2255000,2316000,2252000,2286000,315099
20180209,2222000,2259000,2221000,2235000,349300
20180208,2306000,2331000,2299000,2300000,465021
20180207,2412000,2413000,2290000,2290000,468961
20180206,2330000,2396000,2329000,2371000,388129
20180205,2325000,2416000,2300000,2396000,567158
20180202,2469000,2470000,2385000,2385000,585207
20180201,2531000,2548000,2486000,2491000,552189
20180131,2501000,2707000,2480000,2495000,1293626
20180130,2522000,2532000,2489000,2490000,245691
20180129,2560000,2574000,2545000,2561000,236776
20180126,2525000,2539000,2492000,2539000,207002
20180125,2461000,2518000,2458000,2513000,223207
20180124,2443000,2485000,2428000,2467000,191010
20180123,2433000,2458000,2415000,2458000,270654
20180122,2432000,2434000,2398000,2412000,250418
20180119,2519000,2519000,2452000,2466000,184399
20180118,2501000,2532000,2491000,2495000,296977
20180117,2501000,2501000,2453000,2481000,221061
20180116,2438000,2507000,2431000,2500000,407793
20180115,2440000,2449000,2396000,2427000,201920
20180112,2412000,2424000,2338000,2410000,545409
20180111,2410000,2463000,2401000,2412000,502476
20180110,2525000,2526000,2432000,2442000,371336
20180109,2573000,2586000,2499000,2520000,360272
20180108,2620000,2626000,2575000,2601000,167673
20180105,2565000,2606000,2560000,2606000,189623
20180104,2606000,2609000,2532000,2554000,233909
20180103,2627000,2628000,2571000,2581000,200270
20180102,2569000,2570000,2539000,2551000,169485
20171228,2478000,2548000,2475000,2548000,179709
20171227,2448000,2478000,2423000,2468000,214872
20171226,2488000,2505000,2410000,2410000,320797
20171222,2470000,2498000,2462000,2485000,223993
20171221,2550000,2553000,2455000,2457000,312486
20171220,2575000,2588000,2541000,2544000,201611
20171219,2577000,2604000,2576000,2578000,239572
20171218,2531000,2562000,2531000,2560000,147005
20171215,2562000,2574000,2526000,2531000,298571
20171214,2566000,2614000,2553000,2553000,406208
20171213,2605000,2605000,2555000,2566000,226674
20171212,2591000,2605000,2583000,2605000,175301
20171211,2600000,2602000,2575000,2589000,162517
20171208,2568000,2600000,2552000,2600000,225809
20171207,2502000,2549000,2501000,2537000,221312
20171206,2563000,2578000,2501000,2501000,217784
20171205,2530000,2565000,2514000,2563000,186531
20171204,2542000,2567000,2501000,2567000,297301
20171201,2540000,2589000,2540000,2542000,257372
20171130,2540000,2593000,2510000,2540000,592683
20171129,2660000,2662000,2625000,2630000,191805
20171128,2635000,2664000,2586000,2664000,269988
20171127,2768000,2768000,2632000,2632000,362578
20171124,2765000,2775000,2759000,2773000,90724
20171123,2798000,2799000,2751000,2765000,125458
20171122,2799000,2810000,2781000,2798000,159059
20171121,2770000,2792000,2764000,2764000,206494
20171120,2795000,2799000,2760000,2760000,189455
20171117,2820000,2844000,2791000,2791000,214663
20171116,2772000,2800000,2770000,2789000,152814
20171115,2796000,2816000,2766000,2767000,176339
20171114,2819000,2837000,2796000,2796000,134500
20171113,2820000,2840000,2805000,2819000,176133
20171110,2790000,2827000,2789000,2820000,134976
20171109,2846000,2846000,2795000,2817000,239881
20171108,2805000,2853000,2793000,2838000,170404
20171107,2819000,2846000,2793000,2805000,149291
20171106,2819000,2825000,2767000,2819000,180019
20171103,2853000,2857000,2793000,2819000,198716
20171102,2875000,2876000,2838000,2853000,214421
20171101,2875000,2875000,2809000,2861000,290205
20171031,2703000,2772000,2675000,2754000,267631
20171030,2689000,2716000,2685000,2702000,163923
20171027,2620000,2666000,2607000,2654000,147850
20171026,2686000,2695000,2620000,2620000,195531
20171025,2702000,2721000,2685000,2695000,117657
20171024,2735000,2739000,2702000,2702000,116121
20171023,2730000,2732000,2700000,2715000,166221
20171020,2640000,2705000,2640000,2692000,160541
20171019,2735000,2735000,2649000,2649000,242174
20171018,2741000,2762000,2702000,2738000,202215
20171017,2701000,2769000,2700000,2740000,212156
20171016,2699000,2743000,2688000,2696000,195399
20171013,2727000,2742000,2689000,2700000,252033
20171012,2742000,2758000,2705000,2740000,277814
20171011,2680000,2738000,2667000,2732000,273043
20171010,2668000,2682000,2640000,2640000,410396
20170929,2559000,2581000,2542000,2564000,258188
20170928,2613000,2623000,2563000,2563000,240509
20170927,2600000,2610000,2575000,2584000,215940
20170926,2651000,2656000,2578000,2583000,341144
20170925,2650000,2684000,2650000,2681000,186062
20170922,2648000,2680000,2623000,2650000,278448
20170921,2611000,2648000,2611000,2640000,176796
20170920,2606000,2625000,2592000,2611000,185855
20170919,2625000,2632000,2589000,2606000,197008
20170918,2527000,2624000,2526000,2624000,230499
20170915,2515000,2528000,2493000,2520000,215146
20170914,2503000,2516000,2488000,2515000,284095
20170913,2491000,2520000,2472000,2481000,187140
20170912,2510000,2511000,2457000,2480000,240595
20170911,2485000,2509000,2475000,2490000,207495
20170908,2435000,2459000,2429000,2454000,217860
20170907,2350000,2411000,2350000,2406000,193530
20170906,2338000,2359000,2335000,2350000,216221
20170905,2312000,2345000,2298000,2338000,234322
20170904,2289000,2318000,2275000,2302000,158870
20170901,2323000,2332000,2315000,2324000,212834
20170831,2311000,2332000,2300000,2316000,220234
20170830,2319000,2320000,2298000,2310000,150260
20170829,2282000,2304000,2258000,2304000,252473
20170828,2351000,2362000,2298000,2305000,199242
20170825,2394000,2394000,2336000,2351000,224871
20170824,2376000,2383000,2367000,2376000,173149
20170823,2389000,2389000,2359000,2374000,187694
20170822,2341000,2358000,2335000,2350000,147635
20170821,2362000,2362000,2329000,2342000,102069
20170818,2338000,2362000,2312000,2345000,209559
20170817,2348000,2365000,2337000,2352000,248317
20170816,2311000,2319000,2300000,2310000,438273
20170814,2256000,2270000,2236000,2250000,383712
20170811,2256000,2265000,2211000,2231000,508146
20170810,2310000,2316000,2273000,2295000,459723
20170809,2370000,2370000,2312000,2314000,291108
20170808,2399000,2413000,2374000,2386000,159592
20170807,2375000,2404000,2372000,2379000,144365
20170804,2408000,2409000,2375000,2385000,167184
20170803,2450000,2450000,2356000,2389000,310816
20170802,2460000,2467000,2430000,2450000,155549
20170801,2400000,2442000,2377000,2430000,227390
20170731,2371000,2412000,2346000,2410000,254028
20170728,2490000,2490000,2369000,2388000,523366
20170727,2500000,2532000,2478000,2490000,228990
20170726,2480000,2501000,2465000,2492000,224496
20170725,2525000,2538000,2497000,2500000,216212
20170724,2535000,2550000,2531000,2543000,141995
20170721,2543000,2558000,2526000,2554000,168981
20170720,2538000,2566000,2528000,2560000,167352
20170719,2531000,2541000,2500000,2537000,223150
20170718,2521000,2544000,2518000,2542000,141689
20170717,2545000,2551000,2526000,2532000,179522
20170714,2550000,2554000,2521000,2524000,164780
20170713,2504000,2547000,2502000,2528000,320683
20170712,2450000,2500000,2442000,2494000,189723
20170711,2432000,2450000,2414000,2450000,194356
20170710,2425000,2445000,2416000,2433000,215855
20170707,2387000,2406000,2381000,2393000,162638
20170706,2400000,2405000,2386000,2403000,218461
20170705,2341000,2384000,2339000,2379000,212805
20170704,2358000,2370000,2345000,2350000,159220
20170703,2375000,2389000,2356000,2361000,136111
20170630,2375000,2381000,2355000,2377000,237551
20170629,2402000,2416000,2397000,2397000,166131
20170628,2380000,2400000,2378000,2385000,191450
20170627,2411000,2420000,2395000,2415000,192335
20170626,2376000,2418000,2376000,2414000,171056
20170623,2380000,2389000,2371000,2381000,190302
20170622,2398000,2404000,2386000,2398000,229116
20170621,2387000,2406000,2374000,2374000,199473
20170620,2362000,2407000,2361000,2407000,300900
20170619,2279000,2328000,2278000,2328000,226078
20170616,2275000,2297000,2273000,2279000,348069
20170615,2284000,2296000,2259000,2284000,193140
20170614,2290000,2303000,2262000,2268000,203334
20170613,2257000,2281000,2257000,2270000,172498
20170612,2271000,2280000,2257000,2269000,219086
20170609,2284000,2322000,2280000,2305000,234657
20170608,2250000,2279000,2250000,2258000,279575
20170607,2325000,2325000,2262000,2265000,274588
20170605,2302000,2318000,2286000,2297000,151988
20170602,2253000,2298000,2250000,2298000,249775
20170601,2243000,2245000,2220000,2234000,195070
20170531,2229000,2251000,2220000,2235000,373382
20170530,2276000,2283000,2224000,2232000,248672
20170529,2311000,2320000,2269000,2281000,174791
20170526,2280000,2323000,2277000,2304000,272273
20170525,2258000,2284000,2240000,2284000,260896
20170524,2243000,2265000,2240000,2244000,173508
20170523,2270000,2279000,2245000,2246000,252141
20170522,2252000,2269000,2238000,2255000,352871
20170519,2282000,2289000,2236000,2236000,315247
20170518,2287000,2300000,2277000,2297000,223207
20170517,2306000,2332000,2305000,2317000,148489
20170516,2333000,2340000,2305000,2319000,176075
20170515,2281000,2314000,2281000,2305000,160028
20170512,2288000,2308000,2283000,2291000,188458
20170511,2271000,2309000,2261000,2275000,425557
20170510,2308000,2361000,2280000,2280000,468219
20170508,2276000,2351000,2267000,2351000,391651
20170504,2285000,2285000,2243000,2276000,273802
20170502,2275000,2275000,2238000,2245000,281366
20170428,2289000,2290000,2226000,2231000,453714
20170427,2135000,2226000,2098000,2192000,460645
20170426,2135000,2140000,2126000,2140000,295896
20170425,2073000,2137000,2066000,2135000,385992
20170424,2063000,2063000,2046000,2062000,179803
20170421,2024000,2070000,2024000,2038000,302610
20170420,2029000,2040000,2004000,2014000,422977
20170419,2065000,2071000,2045000,2045000,235258
20170418,2084000,2091000,2064000,2075000,137213
20170417,2100000,2104000,2076000,2078000,104495
